"","lineage_clusters","umap_1","umap_2"
"50","2",2.70872766465207,-1.42329854381187
"51","3",-3.60822456389407,-1.71372038734062
"52","3",-5.23519652396182,-3.36519641292198
"53","4",3.53707320183774,7.84836178409951
"54","0",-2.43898420840243,2.30749326336281
"55","4",2.99344593972226,7.82142000782387
"56","4",3.51225239724179,8.42916851627724
"57","0",-2.35074644595126,5.10593586552041
"58","0",-3.42296689063052,4.83944540607827
"59","2",4.03706128090879,0.524979466079641
"60","1",-0.0607353976343044,-5.22233933818443
"61","1",-4.74616449385623,-7.10091227901084
"62","2",1.58553320855161,0.834403687595297
"63","0",-2.77035944968203,4.64480620014565
"64","4",4.38721901864072,8.41957169163125
"65","0",-1.59685107379893,3.34243589031594
"66","2",3.37656552285215,1.74893217670815
"67","4",4.10749632805844,7.64092665302651
"68","0",-0.593777888116635,3.15589457142251
"69","1",-2.96056097060183,-7.11602658641441
"70","4",4.3447490403082,8.69570713627236
"71","2",1.03462464303037,1.5551295815696
"72","0",-2.34915047198275,-0.746263629318308
"73","1",1.67754871338864,-6.01687211406333
"74","0",-2.5934354594324,5.31571560490029
"75","2",1.90052849740049,3.11229901897805
"76","3",-4.47196286231021,-2.44241589915855
"77","0",-2.70934145956973,4.00569515812295
"78","0",-1.23439449876288,5.30589180576699
"79","1",-2.79224913626651,-6.77175921809776
"80","0",-0.989587657747067,5.37845545399087
"81","0",-2.4053810170267,3.58889942753213
"82","2",1.65486914605161,0.399978244184423
"83","6",11.4380632111456,-2.04878491771324
"84","4",3.02014882058164,7.1792123852958
"85","0",-1.66473817139605,4.54588156330483
"86","4",4.38373000115415,8.6140211163749
"87","3",-3.47258632689456,-1.97697467219932
"88","4",3.20767456978818,7.58642559635537
"89","2",2.0800629326727,2.11645012485879
"90","2",3.19258124321958,3.19611363994973
"91","4",4.59075982064267,8.3755014477958
"92","2",3.32765824288388,0.580682569621969
"93","4",2.96855122536679,7.39148932087319
"94","0",-0.453950100240506,3.1515114842643
"95","2",4.6019945809271,3.12064629185097
"96","0",-2.58847706824282,4.95469647037881
"97","6",11.183908052149,-2.30047816646202
"98","1",-3.43894999533633,-2.92776841533286
"99","0",-1.55601283222178,4.911707216381
"100","0",-0.0953164628122218,3.25150900471108
"101","2",2.16301209420224,2.50021248447793
"102","2",2.18394500702878,2.24732690441506
"103","2",2.74818093270322,1.87176304447548
"104","2",1.52569348305722,1.18697839367287
"105","4",3.21146208733579,8.17727070438759
"106","0",-0.888632186350621,4.92385702717202
"107","1",-0.94739704638461,-8.04612988841636
"108","0",-0.335426085290707,3.83467226612465
"109","2",4.76031500786801,-0.0708484542827121
"110","0",-0.741442852315701,5.50998001682656
"111","0",-0.717820220289028,3.70497995006936
"112","0",-1.62946089416484,4.1611812649955
"113","2",1.14732748955747,1.50090652096169
